"","arrayId","source","sampleName","arrayType","tumorType","location","conversion"
"161","3999720031_R03C01","Endo","PK04-46T","Illumina_450K","PDAC","primary",1.17656721060211
"162","3999720044_R04C01","Endo","PK05-01T","Illumina_450K","PDAC","primary",1.21404212936918
"163","3999720031_R01C02","Endo","PK05-03T","Illumina_450K","PDAC","primary",1.11613802374476
"164","3999720044_R06C01","Endo","PK05-04T","Illumina_450K","PDAC","primary",1.14108249125395
"165","3999720082_R03C02","Endo","PK05-05T","Illumina_450K","PDAC","primary",1.15565024929785
"166","3999720082_R04C02","Endo","PK05-06T","Illumina_450K","PDAC","primary",1.21331994699296
"167","3999720082_R05C02","Endo","PK05-07T","Illumina_450K","PDAC","primary",1.18060433679775
"168","3999720001_R02C01","Endo","PK05-10T","Illumina_450K","PDAC","primary",1.19676045417721
"169","3999720031_R03C02","Endo","PK05-11T","Illumina_450K","PDAC","primary",1.10663207668773
"170","3999720001_R03C01","Endo","PK05-12T","Illumina_450K","PDAC","primary",1.16414168532078
"171","3999720001_R04C01","Endo","PK05-14T","Illumina_450K","PDAC","primary",1.14630721777526
"172","3999720001_R05C01","Endo","PK05-15T","Illumina_450K","PDAC","primary",1.18068637490333
"173","3999720001_R06C01","Endo","PK05-17T","Illumina_450K","PDAC","primary",1.17332635090213
"174","3999720001_R01C02","Endo","PK05-21T","Illumina_450K","PDAC","primary",1.24363394832779
"175","3999720001_R04C02","Endo","PK05-24T","Illumina_450K","PDAC","primary",1.18147239842405
"176","3999720001_R05C02","Endo","PK05-25T","Illumina_450K","PDAC","primary",1.1507480131284
"177","3999720001_R06C02","Endo","PK05-26T","Illumina_450K","PDAC","primary",1.10874162853554
"178","3999720031_R05C02","Endo","PK05-30T","Illumina_450K","PDAC","primary",1.15288419194528
"179","3999720011_R06C01","Endo","PK05-31T","Illumina_450K","PDAC","primary",1.18963015924788
"180","3999720011_R01C02","Endo","PK05-32T","Illumina_450K","PDAC","primary",1.19898288194763
"181","3999720044_R02C02","Endo","PNC003T","Illumina_450K","PDAC","primary",1.12531741747839
"182","3999720033_R01C01","Endo","PNC004T","Illumina_450K","PDAC","primary",1.14567452949666
"183","3999720048_R01C01","Endo","PNC005T","Illumina_450K","PDAC","primary",1.22304267377031
"184","3999720033_R02C01","Endo","PNC008T","Illumina_450K","PDAC","primary",1.12820351781133
"185","3999720048_R03C01","Endo","PNC009T","Illumina_450K","PDAC","primary",1.20802637700862
"186","3999720048_R05C01","Endo","PNC012T","Illumina_450K","PDAC","primary",1.17098798848412
"187","3999720048_R01C02","Endo","PNC013T","Illumina_450K","PDAC","primary",1.18753969355589
"188","3999720048_R03C02","Endo","PNC014T","Illumina_450K","PDAC","primary",1.18219270220616
"189","3999720048_R05C02","Endo","PNC015T","Illumina_450K","PDAC","primary",1.14797637498976
"190","3999720070_R01C01","Endo","PNC016T","Illumina_450K","PDAC","primary",1.17136983752774
"191","3999720070_R03C01","Endo","PNC018T","Illumina_450K","PDAC","primary",1.19561168627352
"192","3999720033_R03C01","Endo","PNC019T","Illumina_450K","PDAC","primary",1.15866285616431
"193","3999720044_R04C02","Endo","PNC022T","Illumina_450K","PDAC","primary",1.17496911802725
"194","3999720011_R01C01","Endo","PNC025T","Illumina_450K","PDAC","primary",1.2151961081384
"195","3999720061_R01C01","Endo","PNC026T","Illumina_450K","PDAC","primary",1.20614148733823
"196","3999720033_R04C01","Endo","PNC028T","Illumina_450K","PDAC","primary",1.20261939474672
"197","3999720061_R06C02","Endo","PNC029T","Illumina_450K","PDAC","primary",1.118126889973
"198","3999720011_R03C02","Endo","PNC031T","Illumina_450K","PDAC","primary",1.21805749587108
"199","3999720061_R04C01","Endo","PNC032T","Illumina_450K","PDAC","primary",1.12789110899962
"200","3999720061_R06C01","Endo","PNC033T","Illumina_450K","PDAC","primary",1.13616886200744
"201","3999720061_R02C02","Endo","PNC034T","Illumina_450K","PDAC","primary",1.19839228864312
"202","3999720061_R04C02","Endo","PNC035T","Illumina_450K","PDAC","primary",1.18108777475216
"203","3999720082_R06C02","Endo","PNC044T","Illumina_450K","PDAC","primary",1.22700612813191
"204","200325530168_R02C01","Jakel","15M","Illumina_450K","ACC","liver metastasis",1.07729727443092
"205","200360420003_R05C02","Jakel","19M","Illumina_450K","ACC","liver metastasis",1.206723515804
"206","200360420003_R02C01","Jakel","4M","Illumina_450K","ACC","liver metastasis",1.22380623795057
"207","200360420007_R04C02","Jakel","41M","Illumina_450K","ACC","liver metastasis",1.1946074625
"208","200360420007_R03C01","Jakel","6M","Illumina_450K","ACC","liver metastasis",1.13634732186351
